iter	Passed	Remaining
651	4045	2159
652	4050	2152
653	4055	2145
654	4060	2138
655	4066	2132
656	4070	2125
657	4075	2118
658	4080	2111
659	4131	2128
660	4149	2128
661	4156	2122
662	4171	2120
663	4176	2113
664	4181	2106
665	4189	2100
666	4194	2093
667	4198	2086
668	4203	2079
669	4207	2072
670	4217	2067
671	4226	2062
672	4231	2055
673	4236	2048
674	4241	2041
675	4246	2035
676	4251	2028
677	4257	2022
678	4264	2015
679	4268	2008
680	4274	2002
681	4279	1995
682	4285	1988
683	4290	1982
684	4300	1977
685	4306	1971
686	4329	1972
687	4334	1965
688	4339	1958
689	4344	1952
690	4354	1947
691	4362	1941
692	4367	1934
693	4374	1928
694	4380	1922
695	4386	1915
696	4391	1909
697	4397	1902
698	4403	1896
699	4409	1889
700	4415	1883
701	4421	1876
702	4426	1870
703	4431	1863
704	4436	1856
705	4442	1849
706	4450	1844
707	4455	1837
708	4460	1830
709	4465	1824
710	4470	1817
711	4475	1810
712	4481	1803
713	4489	1798
714	4494	1791
715	4501	1785
716	4506	1778
717	4511	1772
718	4517	1765
719	4525	1759
720	4534	1754
721	4539	1747
722	4544	1741
723	4550	1734
724	4555	1728
725	4561	1721
726	4568	1715
727	4573	1708
728	4579	1702
729	4584	1695
730	4590	1689
731	4597	1683
732	4603	1676
733	4612	1671
734	4619	1665
735	4624	1658
736	4631	1652
737	4637	1646
738	4642	1639
739	4648	1633
740	4654	1626
741	4660	1620
742	4666	1614
743	4672	1607
744	4676	1600
745	4682	1594
746	4687	1587
747	4692	1580
748	4697	1574
749	4716	1572
750	4724	1566
751	4730	1559
752	4735	1553
753	4741	1546
754	4747	1540
755	4758	1535
756	4763	1529
757	4770	1522
758	4776	1516
759	4781	1510
760	4787	1503
761	4793	1497
762	4803	1491
763	4808	1485
764	4814	1478
765	4818	1472
766	4831	1467
767	4836	1461
768	4844	1455
769	4848	1448
770	4854	1441
771	4858	1435
772	4863	1428
773	4869	1421
774	4874	1415
775	4883	1409
776	4889	1403
777	4894	1396
778	4898	1389
779	4904	1383
780	4909	1376
781	4915	1370
782	4920	1363
783	4924	1356
784	4929	1350
785	4935	1343
786	4940	1337
787	4946	1330
788	4957	1325
789	4964	1319
790	4970	1313
791	4974	1306
792	4982	1300
793	4987	1294
794	4992	1287
795	4997	1280
796	5004	1274
797	5009	1268
798	5015	1261
799	5020	1255
800	5026	1248
801	5032	1242
802	5038	1236
803	5049	1231
804	5054	1224
805	5059	1217
806	5065	1211
807	5070	1204
808	5079	1199
809	5084	1192
810	5090	1186
811	5096	1179
812	5102	1173
813	5107	1167
814	5112	1160
815	5118	1154
816	5123	1147
817	5129	1141
818	5134	1134
819	5140	1128
820	5146	1121
821	5152	1115
822	5160	1109
823	5169	1104
824	5175	1097
825	5180	1091
826	5185	1084
827	5191	1078
828	5196	1071
829	5203	1065
830	5208	1059
831	5214	1052
832	5221	1046
833	5227	1040
834	5237	1034
835	5243	1028
836	5248	1022
837	5253	1015
838	5259	1009
